토-일 라인업,,,,일-월 라인업,,
스테이지,이름(영어),이름(한글),,스테이지,이름(영어),이름(한글)
JANDI,AFRODITE,,,JANDI,BAMBOUNOU,
,ARMEN MIRAN,,,,DEMUJA,
,DAOX,,,,DGURU,
,NOMTII,,,,DUUMOK,
,SÉBASTIEN LÉGER,,,,LEFTO EARLY BIRD,
,SPACE MOTION,,,,OUISSAM,
,SUNDAY LEE,,,,ROZA TERENZI,
HANOK,DATA MEMORY ACCESS (LIVE),,,,SALLY C,
,DOTT,,,HANOK,2NDFLOOR,
,FRANCESCO DEL GARDA,,,,ANTWORK,
,FRANCESCO FARFA,,,,BINH,
,GABBS,,,,DJ MASDA,
,KIBUM B2B COSMJN,,,,LYUMIN,
,SHONKY,,,,MIHAK,
SOOP,DJ SIN,,,,NICOLAS LUTZ,
,DJ SOULSCAPE,,,,RAPHAEL CARRAU,
,ISAAC,,,,VERA,
,JINMOO,,,,YOUNG SUN,
,ROBERT ISTOC,,,SOOP,KONDUKU,
,SUNGHOON,,,,MARCO SHUTTLE,
,SUNJU HARGUN,,,,XANEXX,
BARAM,CHANG KIHA,장기하,,,ZORBA,
,MEANINGFUL STONE,김뜻돌,,BARAM,JISOKURYCLUB,지소쿠리클럽
,OYSTERS,오이스터스,,,RAKUNELAMA,라쿠네라마
MAUM,BODY ART MEDITATION,체감 예술 명상,,,SAY SUE ME,세이수미
,HANDPAN MORNING FLOW,핸드팬 모닝 플로우,,MAUM,DJ SOULSCAPE,
,INDIGO MOONWAVE SOUNDHEALING,인디고 문웨이브 사운드 힐링,,,HEALING HATHA YOGA,힐링 하타 요가
,JONGHO (LIVE),,,,"INDIGO SUNRISE
 AWAKENING THE EARTH RESONANCE(432Hz)","인디고 선라이즈 
 대지의 공명을 깨우다 (432Hz)"
,KIM OKI : EXORCIST KING,김오키 퇴마왕,,,KIM SAWOL,김사월
,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING,나비연 즉흥소리 & 사운드 힐링 콘서트,,,MOGWAA (LIVE),
,ROBERT ISTOC,,,,NOVASIA,노바시아
,VERA,,,,OUISSAM,
,VINYASA MOVEMENT,빈야서 무브먼트,,,SUNDOWN GONG CEREMONY,일몰 공 세레모니
,VOICE OF THE TREES: A FOREST TEMPLE,나무의 목소리: 숲의 사원,,,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY,보만스님의 불교심리학
,ZAHO: WHERE RHYTHM PAUSES,자호: 리듬이 머무는 순간 ,,MADANG,AIRHOUSE CEREMONY,에어하우스 세레모니
MADANG,AIRHOUSE CEREMONY,에어하우스 세레모니,,,DAMONS YEAR,데이먼스 이어
,AIRHOUSE YOGA FLOW,에어하우스 요가 플로우,,,DANGJOK LIVE COUNSELING CENTER,댕쪽이 라이브 상담소
,CHAWOOL,차울,,,DISCO AEROBIC,디스코에어로빅
,FIELD RECORDING,들리는 매개체,,,FIELD RECORDING,들리는 매개체
,INDIGO DYEING EXPERIENCE,쪽염색 반다나 체험,,,HEEN DANCE : KICO,흰댄스 : 키코
,KOREA FOOD HAND RITUAL,손으로 만드는 한국 음식,,,KOREA FOOD HAND RITUAL,손으로 만드는 한국 음식
,MINDFUL AROMATHERAPY & ROLL-ON MAKING,마음챙김 아로마테라피&아로마롤온 만들기,,,MOTHER-OF-PEARL KEYRING MAKING,자개 키링 만들기
,SAMULNORI ON : PAN ON,사물놀이 온ON : 판 온,,,SAMUI,사뮈
,WELLNESS TAEKWONDO,웰니스 태권도,,EXHIBITION,CHANG SEAHEE,장세희
EXHIBITION,CHANG SEAHEE,장세희,,,CONXI SANE (LIVE PAINTING),
,CONXI SANE (LIVE PAINTING),,,,GOO GIJEONG,구기정
