1차 라인업,,,,2차 라인업,,
스테이지,이름(영어),이름(한글),,스테이지,이름(영어),이름(한글)
JANDI,AFRODITE,아프로다이트,,,,
,ARMENMIRAN,아르멘미란,,,,
,BAMBOUNOU,밤부누,,,,
,DAOX,다옥스,,,,
,DUUMOK,두목,,,,
,NOMTII,놈티,,,,
,ROZA TERENZI,로자 테렌지,,,,
,SÉBASTIEN LÉGER,세바스티앙 레제,,,,
,SUNDAY LEE,선데이 리,,,,
HANOK,DATA MEMORY ACCESS (LIVE),데이타 메모리 엑세스 (라이브),,,,
,DJ MASDA,디제이 마스다,,,,
,FRANCESCO DEL GARDA,프란체스코 델 가르다,,,,
,FRANCESCO FARFA,프란체스코 팔파,,,,
,GABBS,갑스,,,,
,KIBUM,키범,,,,
,NICOLAS LUTZ,니콜라스 럿츠,,,,
,SHONKY,숀키,,,,
SOOP,KNNDUKU,콘두쿠,,,,
,ROBERT ISTOC,로베르투 이스톡,,,,
,XANEXX,자넥스,,,,
,ZORBA,조르바,,,,
BARAM,CHANG KIHA,장기하,,,,
,JISOKURYCLUB,지소쿠리클럽,,,,
,OYSTERS,오이스터스,,,,
MAUM,BODY ART MEDITATION,체감 예술 명상,,,,
,DJ SOULSCAPE,디제이 소울스케이프,,,,
,HANDPAN MORNING FLOW,핸드팬 모닝 플로우,,,,
,HEALING HATHA YOGA,힐링 하타 요가,,,,
,"INDIGO SUNRISE
 AWAKENING THE EARTH RESONANCE(432Hz)","인디고 선라이즈 
 대지의 공명을 깨우다 (432Hz)",,,,
,JONGHO (LIVE),종호(라이브),,,,
,KIM OKI : EXORCIST KING,김오키 퇴마왕,,,,
,MOGWAA (LIVE),모과 (라이브),,,,
,NOVASIA,노바시아,,,,
,ROBERT ISTOC,로베르투 이스톡,,,,
,SUNDOWN GONG CEREMONY,일몰 공 세레모니,,,,
,VINYASA MOVEMENT,빈야서 무브먼트,,,,
MADANG,CHAWOOL,차울,,,,
,DANGJOK LIVE COUNSELING CENTER,댕쪽이 라이브 상담소,,,,
,DISCO AEROBIC,디스코에어로빅,,,,
,INDIGO DYEING EXPERIENCE,쪽염색 반다나 체험,,,,
,MINDFUL AROMATHERAPY & ROLL-ON MAKING,마음챙김 아로마테라피&아로마롤온 만들기,,,,
,MOTHER-OF-PEARL KEYRING MAKING,자개 키링 만들기,,,,
,SAMUI,사뮈,,,,
,WELLNESS TAEKWONDO,웰니스 태권도,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
