artist_key,artist_name_en,artist_name_ko,artist_slug_candidate,days_pipe,stages_pipe,stage_timing_entries_pipe
KIMSAWOL,KIM SAWOL,김사월,kim-sawol,일-월,마음,일-월 / 마음 / 20:00~21:00
KOMPAKTRECORD,KOMPAKT RECORD,,,토-일,숲,토-일 / 숲 / 16:00~20:00
KONDUKU,KONDUKU,,konduku,일-월,숲,일-월 / 숲 / 24:00-02:00
KOREAFOODHANDRITUAL,KOREA FOOD HAND RITUAL,손으로 만드는 한국 음식,korea-food-hand-ritual,일-월|토-일,마당,일-월 / 마당 / 12:00~13:00|토-일 / 마당 / 12:00~13:00
LEFTOEARLYBIRD,LEFTO EARLY BIRD,,lefto-early-bird,일-월,잔디,일-월 / 잔디 / 11:00-13:00
MARCOSHUTTLE,MARCO SHUTTLE,,marco-shuttle,일-월,숲,일-월 / 숲 / 02:00-04:00
MEANINGFULSTONE,MEANINGFUL STONE,김뜻돌,meaningful-stone,토-일,바람,토-일 / 바람 / 19:00-20:00
MIHAK,MIHAK,,mihak,일-월,한옥,일-월 / 한옥 / 19:00-21:00
MINDFULAROMATHERAPYROLLONMAKING,MINDFUL AROMATHERAPY & ROLL-ON MAKING,마음챙김 아로마테라피&아로마롤온 만들기,,토-일,마당,토-일 / 마당 / 19:00~20:00
MOGWAALIVE,MOGWAA (LIVE),모과 (라이브),mogwaa-live,일-월,마음,일-월 / 마음 / 24:00~02:00
MOTHEROFPEARLKEYRINGMAKING,MOTHER-OF-PEARL KEYRING MAKING,자개 키링 만들기,mother-of-pearl-keyring-making,일-월,마당,일-월 / 마당 / 13:00~14:00
NABIYONLIVEIMPROVISEDVOICESOUNDHEALING,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING &,나비연 즉흥소리 사운드 힐링 콘서트,,토-일,마음,토-일 / 마음 / 15:00~16:00
NICOLASLUTZ,NICOLAS LUTZ,니콜라스 럿츠,nicolas-lutz,일-월,한옥,일-월 / 한옥 / 03:00-05:00
NOMTII,NOMTII,놈티,nomtii,토-일,잔디,토-일 / 잔디 / 02:30-04:00
NOVASIA,NOVASIA,노바시아,novasia,일-월,마음,일-월 / 마음 / 22:00~23:00
OUISSAM,OUISSAM,,ouissam,일-월,마음|잔디,일-월 / 마음 / 04:00~06:00|일-월 / 잔디 / 19:00-21:00
OYSTERS,OYSTERS 오이스터즈,오이스터스,oysters,토-일,바람,토-일 / 바람 / 17:00-18:00
RAKUNELAMA,RAKUNELAMA,라쿠네라마,rakunelama,일-월,바람,일-월 / 바람 / 17:00-18:00
RAPHAELCARRAU,RAPHAEL CARRAU,,raphael-carrau,일-월,한옥,일-월 / 한옥 / 23:00-01:00
ROBERTISTOC,ROBERT ISTOC,로베르투 이스톡,robert-istoc,토-일,마음|숲,토-일 / 마음 / 04:00~06:00|토-일 / 숲 / 24:00-02:00
ROZATERENZI,ROZA TERENZI,로자 테렌지,roza-terenzi,일-월,잔디,일-월 / 잔디 / 01:00-03:00
SALLYC,SALLY C,,sally-c,일-월,잔디,일-월 / 잔디 / 21:00-23:00
SAMUI,SAMUI,사뮈,samui,일-월,마당,일-월 / 마당 / 21:00~22:00
SAMULNORIONPANON,SAMULNORI ON : PAN ON :,사물놀이 온ON : 판 온,samulnori-on-pan-on,토-일,마당,토-일 / 마당 / 21:00~22:00
SAYSUEME,SAY SUE ME,세이수미,say-sue-me,일-월,바람,일-월 / 바람 / 19:00-20:00
SHONKY,SHONKY,숀키,shonky,토-일,한옥,토-일 / 한옥 / 24:30-03:00
SPACEMOTION,SPACE MOTION,,space-motion,토-일,잔디,토-일 / 잔디 / 24:30-02:30
STUDIONOKE,STUDIO NOKE,스튜디오 노케,studio-noke,토-일,작가,토-일 / 작가
SUNDAYLEE,SUNDAY LEE,선데이 리,sunday-lee,토-일,잔디,토-일 / 잔디 / 16:00-17:30
SUNDOWNGONGCEREMONY,SUNDOWN GONG CEREMONY,일몰 공 세레모니,sundown-gong-ceremony,일-월,마음,일-월 / 마음 / 18:00~19:00
SUNGHOON,SUNGHOON,,sunghoon,토-일,숲,토-일 / 숲 / 04:00-06:00
SUNJUHARGUN,SUNJU HARGUN,,sunju-hargun,토-일,숲,토-일 / 숲 / 02:00-04:00
