1차 라인업,,,,2차 라인업,,
스테이지,이름(영어),이름(한글),,스테이지,이름(영어),이름(한글)
JANDI,AFRODITE,,,JANDI,DEMUJA,
,ARMEN MIRAN,,,,DGURU,
,BAMBOUNOU,,,,LEFTO EARLY BIRD,
,DAOX,,,,OUISSAM,
,DUUMOK,,,,SALLY C,
,NOMTII,,,,SPACE MOTION,
,ROZA TERENZI,,,HANOK,2NDFLOOR,
,SÉBASTIEN LÉGER,,,,ANTWORK,
,SUNDAY LEE,,,,BINH,
HANOK,DATA MEMORY ACCESS (LIVE),,,,COSMJN,
,DJ MASDA,,,,DOTT,
,FRANCESCO DEL GARDA,,,,LYUMIN,
,FRANCESCO FARFA,,,,MIHAK,
,GABBS,,,,RAPHAEL CARRAU,
,KIBUM,,,,VERA,
,NICOLAS LUTZ,,,,YOUNG SUN,
,SHONKY,,,SOOP,DJ SIN,
SOOP,KONDUKU,,,,DJ SOULSCAPE,
,ROBERT ISTOC,,,,ISAAC,
,XANEXX,,,,JINMOO,
,ZORBA,,,,MARCO SHUTTLE,
BARAM,CHANG KIHA,장기하,,,SUNGHOON,
,JISOKURYCLUB,지소쿠리클럽,,,SUNJU HARGUN,
,OYSTERS,오이스터스,,BARAM,MEANINGFUL STONE,김뜻돌
MAUM,BODY ART MEDITATION,체감 예술 명상,,,RAKUNELAMA,라쿠네라마
,DJ SOULSCAPE,,,,SAY SUE ME,세이수미
,HANDPAN MORNING FLOW,핸드팬 모닝 플로우,,MAUM,INDIGO MOONWAVE SOUNDHEALING,인디고 문웨이브 사운드 힐링
,HEALING HATHA YOGA,힐링 하타 요가,,,KIM SAWOL,김사월
,"INDIGO SUNRISE
 AWAKENING THE EARTH RESONANCE(432Hz)","인디고 선라이즈 
 대지의 공명을 깨우다 (432Hz)",,,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING,나비연 즉흥소리 & 사운드 힐링 콘서트
,JONGHO (LIVE),,,,OUISSAM,
,KIM OKI : EXORCIST KING,김오키 퇴마왕,,,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY,보만스님의 불교심리학
,MOGWAA (LIVE),,,,VERA,
,NOVASIA,노바시아,,,VOICE OF THE TREES: A FOREST TEMPLE,나무의 목소리: 숲의 사원
,ROBERT ISTOC,,,,ZAHO: WHERE RHYTHM PAUSES,자호: 리듬이 머무는 순간 
,SUNDOWN GONG CEREMONY,일몰 공 세레모니,,MADANG,AIRHOUSE CEREMONY,에어하우스 세레모니
,VINYASA MOVEMENT,빈야사 무브먼트,,,AIRHOUSE YOGA FLOW,에어하우스 요가 플로우
