artist_key,name_en,name_ko,slug_candidate,stages_pipe,source_files_pipe,name_en_variants_pipe
MOTHEROFPEARLKEYRINGMAKING,MOTHER-OF-PEARL KEYRING MAKING,자개 키링 만들기,mother-of-pearl-keyring-making,MADANG,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,MOTHER-OF-PEARL KEYRING MAKING
NABIYONLIVEIMPROVISEDVOICEANDSOUNDHEALING,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING,나비연 즉흥소리 & 사운드 힐링 콘서트,nabiyon-live-improvised-voice-and-sound-healing,MAUM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING
NICOLASLUTZ,NICOLAS LUTZ,니콜라스 럿츠,nicolas-lutz,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,NICOLAS LUTZ
NOMTII,NOMTII,놈티,nomtii,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,NOMTII
NOVASIA,NOVASIA,노바시아,novasia,MAUM,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,NOVASIA
OUISSAM,OUISSAM,,ouissam,JANDI|MAUM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,OUISSAM
OYSTERS,OYSTERS,오이스터스,oysters,BARAM,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,OYSTERS
RAKUNELAMA,RAKUNELAMA,라쿠네라마,rakunelama,BARAM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,RAKUNELAMA
RAPHAELCARRAU,RAPHAEL CARRAU,,raphael-carrau,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,RAPHAEL CARRAU
ROBERTISTOC,ROBERT ISTOC,로베르투 이스톡,robert-istoc,MAUM|SOOP,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,ROBERT ISTOC
ROZATERENZI,ROZA TERENZI,로자 테렌지,roza-terenzi,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,ROZA TERENZI
SALLYC,SALLY C,,sally-c,JANDI,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SALLY C
SAMUI,SAMUI,사뮈,samui,MADANG,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SAMUI
SAMULNORIONPANON,SAMULNORI ON : PAN ON,사물놀이 온ON : 판 온,samulnori-on-pan-on,MADANG,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SAMULNORI ON : PAN ON
SAYSUEME,SAY SUE ME,세이수미,say-sue-me,BARAM,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SAY SUE ME
SHONKY,SHONKY,숀키,shonky,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,SHONKY
