day_label,stage_name,time_raw,start_time,end_time,artist_name_raw,artist_name_en,artist_name_ko,artist_key,artist_slug_candidate,row_number,source_file
일-월,한옥,01:00-03:00,01:00,03:00,DJ MASDA,DJ MASDA,디제이 마스다,DJMASDA,dj-masda,23,2026__sheet.csv
일-월,한옥,03:00-05:00,03:00,05:00,NICOLAS LUTZ,NICOLAS LUTZ,니콜라스 럿츠,NICOLASLUTZ,nicolas-lutz,24,2026__sheet.csv
일-월,한옥,05:00-08:00,05:00,08:00,BINH,BINH,,BINH,binh,25,2026__sheet.csv
일-월,한옥,08:00-11:00,08:00,11:00,VERA,VERA,,VERA,vera,26,2026__sheet.csv
일-월,한옥,15:00-17:00,15:00,17:00,ANTIDOTE,ANTIDOTE,,ANTIDOTE,,18,2026__sheet.csv
일-월,한옥,17:00-19:00,17:00,19:00,ANTIDOTE,ANTIDOTE,,ANTIDOTE,,19,2026__sheet.csv
일-월,한옥,19:00-21:00,19:00,21:00,MIHAK,MIHAK,,MIHAK,mihak,20,2026__sheet.csv
일-월,한옥,21:00-23:00,21:00,23:00,ANTWORK,ANTWORK,,ANTWORK,antwork,21,2026__sheet.csv
일-월,한옥,23:00-01:00,23:00,01:00,RAPHAEL CARRAU,RAPHAEL CARRAU,,RAPHAELCARRAU,raphael-carrau,22,2026__sheet.csv
토-일,마당,10:00~11:00,10:00,11:00,AIRHOUSE YOGA FLOW 에어하우스 요가 플로우,AIRHOUSE YOGA FLOW,에어하우스 요가 플로우,AIRHOUSEYOGAFLOW,airhouse-yoga-flow,12,2026__sheet.csv
토-일,마당,12:00~13:00,12:00,13:00,KOREA FOOD HAND RITUAL 손으로 만드는 한국 음식,KOREA FOOD HAND RITUAL,손으로 만드는 한국 음식,KOREAFOODHANDRITUAL,korea-food-hand-ritual,14,2026__sheet.csv
토-일,마당,13:00~14:00,13:00,14:00,FIELD RECORDING / 들리는 매개체,FIELD RECORDING,들리는 매개체,FIELDRECORDING,field-recording,15,2026__sheet.csv
